type,content
paragraph,"In December 1941, Japan attacked American and British territoriesin Asia and the Pacific, including atPearl Harbor in Hawaii, leading theUnited Statesto enter the war against Japan and Germany. Japan conquered much of coastal China and Southeast Asia, but its advances in the Pacific were halted in June 1942 at theBattle of Midway. In late 1942, Axis forces were defeatedin North Africaandat Stalingradin the Soviet Union, and in 1943 their continued defeats on the Eastern Front, anAllied invasion of Italy, and Allied offensives in the Pacific forced them into retreat on all fronts. In 1944, the Western Alliesinvaded France at Normandyas the Soviet Unionrecaptured its pre-war territoryand the U.S. crippled Japan's navy andcaptured key Pacific islands. The war in Europe concluded with the liberation ofGerman-occupied territories;invasions of Germany by the Western Alliesand the Soviet Union, which culminated in thefall of Berlinto Soviet troops; andGermany's unconditional surrenderon8 May 1945. On 6 and 9 August, the U.S.dropped atomic bombsonHiroshimaandNagasakiin Japan. Faced with animminent Allied invasion, the prospect of further atomic bombings, and a Sovietdeclaration of warandinvasion of Manchuria, Japan announcedits unconditional surrenderon 15 August, and signeda surrender documenton2 September 1945."
paragraph,"World War II transformed the political, economic, and social structures of the world, and established the foundation of international relations for the rest of the 20th century and into the 21st century. TheUnited Nationswas created to foster international cooperation and prevent future conflicts, with the victoriousgreat powers—China, France, the Soviet Union, the UK, and the U.S.—becomingthe permanent membersofits security council. The Soviet Union and U.S. emerged as rival globalsuperpowers, setting the stage for the half-centuryCold War. In the wake of Europe's devastation, the influence of its great powers waned, triggering thedecolonisation of AfricaandAsia. Many countries whose industries had been damaged moved towardseconomic recovery and expansion."
paragraph,"World War II began in Europe on 1 September 1939[1][2]with theGerman invasion of Polandand theUnited KingdomandFrance's declaration of war on Germany two days later on 3 September 1939. Dates for the beginning of thePacific Warinclude the start of theSecond Sino-Japanese Waron 7 July 1937,[3][4]or the earlierJapanese invasion of Manchuria, on 19 September 1931.[5][6]Others follow the British historianA. J. P. Taylor, who stated that the Sino-Japanese War and war in Europe and its colonies occurred simultaneously, and the two wars became World War II in 1941.[7]Other proposed starting dates for World War II include theItalian invasion of Abyssiniaon 3 October 1935.[8]The British historianAntony Beevorviews the beginning of World WarII as theBattles of Khalkhin Golfought betweenJapanand the forces ofMongoliaand theSoviet Unionfrom May to September 1939.[9]Others view theSpanish Civil Waras the start or prelude to World War II.[10][11]"
paragraph,"The exact date of the war's end also is not universally agreed upon. It was generally accepted at the time that the war ended with the armistice of 15 August 1945 (V-J Day), rather than with the formalsurrender of Japanon 2 September 1945, which officiallyended the war in Asia. Apeace treaty between Japan and the Allieswas signed in 1951.[12]A 1990treaty regarding Germany's futureallowed thereunification of East and West Germanyto take place.[13]No formal peace treaty between Japan and the Soviet Union was ever signed,[14]although the state of war between the two countries was terminated by theSoviet–Japanese Joint Declaration of 1956, which also restored full diplomatic relations between them.[15]"
paragraph,"World War Ihad radically altered the political European map with the defeat of theCentral Powers—includingAustria-Hungary,Germany,Bulgaria, and theOttoman Empire—and the 1917Bolshevik seizure of powerinRussia, which led to the founding of the Soviet Union. Meanwhile, the victoriousAllies of World War I, such as France, Belgium, Italy, Romania, and Greece, gained territory, and newnation-stateswere created out of the dissolution of the Austro-Hungarian, Ottoman, and Russian Empires.[16]"
paragraph,"To prevent a future world war, theLeague of Nationswas established in 1920 by theParis Peace Conference. The organisation's primary goals were to prevent armed conflict through collective security, military, andnaval disarmament, as well as settling international disputes through peaceful negotiations and arbitration.[17]"
paragraph,"Despite strong pacifist sentimentafter World WarI,[18]irredentistandrevanchistnationalismhad emerged in several European states. These sentiments were especially marked in Germany because of the significant territorial, colonial, and financial losses imposed by theTreaty of Versailles. Under the treaty, Germany lost around 13 percent of its home territory and allits overseas possessions, while German annexation of other states was prohibited,reparationswere imposed, and limits were placed on the size and capability of the country'sarmed forces.[19]"
paragraph,"The German Empire was dissolved in theGerman revolution of 1918–1919, and a democratic government, later known as theWeimar Republic, was created. The interwar period saw strife between supporters of the new republic and hardline opponents on both the political right and left. Italy, as an Entente ally, had made some post-war territorial gains; however, Italian nationalists were angered that thepromises madeby the United Kingdom and France to secure Italian entrance into the war were not fulfilled in the peace settlement. From 1922 to 1925, theFascistmovement led byBenito Mussoliniseized power in Italy with a nationalist,totalitarian, andclass collaborationistagenda that abolished representative democracy, repressed socialist, left-wing, and liberal forces, and pursued an aggressive expansionist foreign policy aimed at making Italy a world power, promising the creation of a ""New Roman Empire"".[20]"
paragraph,"Adolf Hitler, after anunsuccessful attempt to overthrow the German governmentin 1923, eventuallybecame the chancellor of Germanyin 1933 when PresidentPaul von Hindenburgand the Reichstag appointed him. Following Hindenburg's death in 1934, Hitler proclaimed himselfFührerof Germany and abolished democracy, espousing aradical, racially motivated revision of the world order, and soon began a massiverearmament campaign.[21]France, seeking to secure its alliance with Italy,allowed Italy a free hand in Ethiopia, which Italy desired as a colonial possession. The situation was aggravated in early 1935 when theTerritory of the Saar Basinwas legally reunited with Germany, and Hitler repudiated the Treaty of Versailles, accelerated his rearmament programme, and introduced conscription.[22]"
paragraph,"The United Kingdom, France and Italy formed theStresa Frontin April 1935 in order to contain Germany, a key step towardsmilitary globalisation; however, that June, the United Kingdom made anindependent naval agreementwith Germany, easing prior restrictions. The Soviet Union, concerned by Germany'sgoals of capturing vast areas of Eastern Europe, drafted a treaty of mutual assistance with France. Before taking effect, though, theFranco-Soviet pactwas required to go through the bureaucracy of the League of Nations, which rendered it essentially toothless.[23]The United States, concerned with events in Europe and Asia, passed theNeutrality Actin August of the same year.[24]"
paragraph,"Hitler defied the Versailles andLocarno Treatiesbyremilitarising the Rhinelandin March 1936, encountering little opposition due to the policy ofappeasement.[25]In October 1936, Germany and Italy formed theRome–Berlin Axis. A month later, Germany and Japan signed theAnti-Comintern Pact, which Italy joined the following year.[26]"
paragraph,"TheKuomintangparty in China launched aunification campaignagainstregional warlordsand nominally unified China in the mid-1920s, but was soon embroiled ina civil waragainst its formerChinese Communist Party(CCP) allies[27]andnew regional warlords. In 1931, anincreasingly militaristicEmpire of Japan, which had long sought influence in China[28]as the first step of what its government saw as the country'sright to rule Asia, staged theMukden incidentas a pretext toinvade Manchuriaand establish thepuppet stateofManchukuo.[29]"
paragraph,"China appealed to theLeague of Nationsto stop the Japanese invasion of Manchuria. Japan withdrew from the League of Nations after beingcondemnedfor its incursion into Manchuria. The two nations then fought several battles, inShanghai,ReheandHebei, until theTanggu Trucewas signed in 1933. Thereafter, Chinese volunteer forces continued the resistance to Japanese aggression inManchuria, andChahar and Suiyuan.[30]After the 1936Xi'an Incident, the Kuomintang and CCP forces agreed on a ceasefire to presenta united frontto oppose Japan.[31]"
paragraph,"TheSecond Italo-Ethiopian Warwas a briefcolonial warthat began in October 1935 and ended in May 1936. The war began with the invasion of theEthiopian Empire(also known asAbyssinia) by the armed forces of theKingdom of Italy(Regno d'Italia), which was launched fromItalian SomalilandandEritrea.[32]The war resulted in themilitary occupationof Ethiopia and itsannexationinto the newly created colony ofItalian East Africa(Africa Orientale Italiana); in addition it exposed the weakness of theLeague of Nationsas a force to preserve peace. Both Italy and Ethiopia were member nations,but the League did littlewhen the former clearly violated Article X of the League'sCovenant.[33]The United Kingdom and France supported imposing sanctions on Italy for the invasion, but the sanctions were not fully enforced and failed to end the Italian invasion.[34]Italy subsequently dropped its objections to Germany's goal of absorbingAustria.[35]"
paragraph,"When civil war broke out in Spain, Hitler and Mussolini lent military support to theNationalist rebels, led by GeneralFrancisco Franco. Italy supported the Nationalists to a greater extent than the Nazis: Mussolini sent more than 70,000 ground troops, 6,000 aviation personnel, and 720 aircraft to Spain.[36]The Soviet Union supported the existing government of theSpanish Republic. More than 30,000 foreign volunteers, known as theInternational Brigades, also fought against the Nationalists. Both Germany and the Soviet Union used thisproxy waras an opportunity to test in combat their most advanced weapons and tactics. The Nationalists won the civil war in April 1939; Franco, now dictator, remained officially neutral during World WarII butgenerally favoured the Axis.[37]His greatest collaboration with Germany was the sending ofvolunteersto fight on theEastern Front.[38]"
paragraph,"In July 1937, Japan captured the former Chinese imperial capital ofPekingafter instigating theMarco Polo Bridge incident, which culminated in the Japanese campaign to invade all of China.[39]The Soviets quickly signed anon-aggression pact with Chinato lendmaterielsupport, effectively ending China's priorcooperation with Germany. From September to November, the Japanese attackedTaiyuan, engaged theKuomintang Armyaround Xinkou,[40]and foughtCommunist forcesin Pingxingguan.[41][42]Chiang Kai-shekdeployed hisbest armytodefend Shanghai, but after three months of fighting, Shanghai fell. The Japanese continued to push Chinese forces back,capturing the capital Nankingin December 1937. After the fall of Nanking, tens or hundreds of thousands of Chinese civilians and disarmed combatants weremurdered by the Japanese.[43][44]"
paragraph,"In March 1938, Nationalist Chinese forces won theirfirst major victory at Taierzhuang, but then the city ofXuzhouwas taken by the Japanesein May.[45]In June 1938, Chinese forces stalled the Japanese advance byflooding the Yellow River; this manoeuvre bought time for the Chinese to prepare their defences atWuhan, but thecity was takenby October.[46]Japanese military victories did not bring about the collapse of Chinese resistance that Japan had hoped to achieve; instead, the Chinese government relocated inland toChongqingand continued the war.[47][48]"
paragraph,"In the mid-to-late 1930s, Japanese forces inManchukuohad sporadic border clashes with the Soviet Union andMongolia. The Japanese doctrine ofHokushin-ron, which emphasised Japan's expansion northward, was favoured by the Imperial Army during this time. This policy would prove difficult to maintain in light of the Japanese defeat atKhalkin Golin 1939, the ongoing Second Sino-Japanese War[49]and ally Nazi Germany pursuing neutrality with the Soviets. Japan and the Soviet Union eventually signed aNeutrality Pactin April 1941, and Japan adopted the doctrine ofNanshin-ron, promoted by the Navy, which took its focus southward and eventually led to war with the United States and the Western Allies.[50][51]"
paragraph,"In Europe, Germany and Italy were becoming more aggressive. In March 1938, Germanyannexed Austria, again provokinglittle responsefrom other European powers.[52]Encouraged, Hitler began pressing German claims on theSudetenland, an area ofCzechoslovakiawith a predominantlyethnic Germanpopulation. Soon the United Kingdom and France followed the appeasement policy of British Prime MinisterNeville Chamberlainand conceded this territory to Germany in theMunich Agreement, which was made against the wishes of the Czechoslovak government, in exchange for a promise of no further territorial demands.[53]Soon afterwards, Germany and Italy forced Czechoslovakia tocede additional territoryto Hungary, and Poland annexed theTrans-Olzaregion of Czechoslovakia.[54]"
paragraph,"Although all of Germany's stated demands had been satisfied by the agreement, privately Hitler was furious that British interference had prevented him from seizing all of Czechoslovakia in one operation. In subsequent speeches Hitler attacked British and Jewish ""war-mongers"" and in January 1939secretly ordered a major build-up of the German navyto challenge British naval supremacy. In March 1939,Germany invaded the remainder of Czechoslovakiaand subsequently split it into the GermanProtectorate of Bohemia and Moraviaand a pro-Germanclient state, theSlovak Republic.[55]Hitler also delivered anultimatum to Lithuaniaon 20 March 1939, forcing the concession of theKlaipėda Region, formerly the GermanMemelland.[56]"
paragraph,"Greatly alarmed and with Hitler making further demands on theFree City of Danzig, the United Kingdom and Franceguaranteed their support for Polish independence; whenItaly conquered Albaniain April 1939, the same guarantee was extended to theKingdoms of RomaniaandGreece.[57]Shortly after theFranco-Britishpledge to Poland, Germany and Italy formalised their own alliance with thePact of Steel.[58]Hitler accused the United Kingdom and Poland of trying to ""encircle"" Germany and renounced theAnglo-German Naval Agreementand theGerman–Polish declaration of non-aggression.[59]"
paragraph,"The situation became a crisis in late August as German troops continued to mobilise against the Polish border. On 23 August the Soviet Union signeda non-aggression pactwith Germany,[60]after tripartite negotiations for a military alliance between France, the United Kingdom, and Soviet Union had stalled.[61]This pact had a secret protocol that defined German and Soviet ""spheres of influence"" (westernPolandand Lithuania for Germany;eastern Poland, Finland,Estonia,LatviaandBessarabiafor the Soviet Union), and raised the question of continuing Polish independence.[62]The pact neutralised the possibility of Soviet opposition to a campaign against Poland and assured that Germany would not have to face the prospect of a two-front war, as it had in World WarI. Immediately afterwards, Hitler ordered the attack to proceed on 26 August, but upon hearing that the United Kingdom had concluded a formal mutual assistance pact with Poland and that Italy would maintain neutrality, he decided to delay it.[63]"
paragraph,"In response to British requests for direct negotiations to avoid war, Germany made demands on Poland, which served as a pretext to worsen relations.[64]On 29 August, Hitler demanded that a Polishplenipotentiaryimmediately travel to Berlin to negotiate the handover ofDanzig, and to allow aplebiscitein thePolish Corridorin which the German minority would vote on secession.[64]The Poles refused to comply with the German demands, and on the night of 30–31 August in a confrontational meeting with the British ambassadorNevile Henderson, Ribbentrop declared that Germany considered its claims rejected.[65]"
paragraph,"On 1 September 1939, Germanyinvaded Polandafterhaving stagedseveralfalse flag border incidentsas a pretext to initiate the invasion.[67]The first German attack of the war came against thePolish defences at Westerplatte.[68]The United Kingdom responded with an ultimatum for Germany to cease military operations, and on 3 September, after the ultimatum was ignored, Britain and France declared war on Germany.[c]During thePhoney Warperiod, the alliance provided no direct military support to Poland, outside of acautious French probe into the Saarland.[69]The Western Allies also began anaval blockade of Germany, which aimed to damage the country's economy and war effort.[70]Germany responded by orderingU-boat warfareagainst Allied merchant and warships, which would later escalate into theBattle of the Atlantic.[71]On 8 September, German troops reached the suburbs ofWarsaw. The Polishcounter-offensiveto the west halted the German advance for several days, but it was outflanked and encircled by theWehrmacht. Remnants of the Polish army broke through tobesieged Warsaw. On 17 September 1939, two days after signing acease-fire with Japan, theSoviet Union invaded Poland[72]under the supposed pretext that the Polish state had ceased to exist.[73]On 27 September, the Warsaw garrison surrendered to the Germans, andthe last large operational unit of the Polish Armysurrendered on 6October. Despite the military defeat, Poland never surrendered; instead, it formed thePolish government-in-exileand aclandestine state apparatus remainedin occupied Poland.[74]A significant part of Polish military personnelevacuated to Romaniaand Latvia; many of them laterfought against the Axisin other theatres of the war.[75]"
paragraph,"Germanyannexed westernPoland andoccupied central Poland; the Soviet Unionannexed eastern Poland; small shares of Polish territory were transferred toLithuaniaandSlovakia. On 6 October, Hitler made a public peace overture to the United Kingdom and France but said that the future of Poland was to be determined exclusively by Germany and the Soviet Union. The proposal was rejected[65]and Hitler ordered an immediate offensive against France,[76]which was postponed until the spring of 1940 due to bad weather.[77][78][79]"
paragraph,"After the outbreak of war in Poland, Stalin threatenedEstonia,Latvia, andLithuaniawith military invasion, forcing the threeBaltic countriesto signpactsallowing the creation of Soviet military bases in these countries; in October 1939, significant Soviet military contingents were moved there.[80][81][82]Finlandrefused to sign a similar pact and rejected ceding part of its territory to the Soviet Union.The Soviet Union invaded Finlandin November 1939,[83]and was subsequently expelled from theLeague of Nationsfor this crime of aggression.[84]Despite overwhelming numerical superiority, Soviet military success during theWinter Warwas modest,[85]and the Finno-Soviet war ended in March 1940 withsome Finnish concessions of territory.[86]"
paragraph,"In June 1940, the Soviet Unionoccupiedthe entire territories of Estonia, Latvia and Lithuania,[81]as well as the Romanian regions ofBessarabia, Northern Bukovina, and the Hertsa region. In August 1940, Hitler imposed theSecond Vienna Awardon Romania which led to the transfer ofNorthern Transylvaniato Hungary.[87]In September 1940, Bulgaria demandedSouthern Dobrujafrom Romania with German and Italian support, leading to theTreaty of Craiova.[88]The loss of one-third of Romania's 1939 territory caused a coup against King Carol II, turning Romania into a fascist dictatorship under MarshalIon Antonescu, with a course set towards the Axis in the hopes of a German guarantee.[89]Meanwhile, German-Soviet political relations and economic co-operation[90][91]gradually stalled,[92][93]and both states began preparations for war.[94]"
paragraph,"In April 1940,Germany invaded Denmark and Norwayto protect shipments ofiron ore from Sweden, which the Allies wereattempting to cut off.[95]Denmark capitulated after six hours, anddespite Allied support, Norway was conquered within two months.[96]British discontent over the Norwegian campaignled to the resignation of Prime MinisterNeville Chamberlain, who was replaced byWinston Churchillon 10May 1940.[97]"
paragraph,"On the same day, Germanylaunched an offensive against France. To circumvent the strongMaginot Linefortifications on the Franco-German border, Germany directed its attack at the neutral nations ofBelgium,the Netherlands, andLuxembourg.[98]The Germans carried out a flanking manoeuvre through theArdennesregion,[99]which was mistakenly perceived by the Allies as an impenetrable natural barrier against armoured vehicles.[100][101]By successfully implementing newBlitzkriegtactics, theWehrmachtrapidly advanced to the Channel and cut off the Allied forces in Belgium, trapping the bulk of the Allied armies in a cauldron on the Franco-Belgian border near Lille. The United Kingdom was ableto evacuate a significant number of Allied troopsfrom the continent by early June, although they had to abandon almost all their equipment.[102]"
paragraph,"On 10 June,Italy invaded France, declaring war on both France and the United Kingdom.[103]The Germans turned south against the weakened French army, andParisfell to them on 14June. Eight days laterFrance signed an armistice with Germany; it was divided intoGermanandItalian occupation zones,[104]and an unoccupiedrump stateunder theVichy Regime, which, though officially neutral, was generally aligned with Germany. France kept its fleet, whichthe United Kingdom attackedon 3July in an attempt to prevent its seizure by Germany.[105]"
paragraph,"The airBattle of Britain[106]began in early July withLuftwaffe attacks on shipping and harbours.[107]TheGerman campaign for air superioritystarted in August but its failure to defeatRAF Fighter Commandforced the indefinite postponement of theproposed German invasion of Britain. The Germanstrategic bombingoffensive intensified with night attacks on London and other cities inthe Blitz, but largely ended in May 1941[108]after failing to significantly disrupt the British war effort.[107]"
paragraph,"Using newly captured French ports, the German Navyenjoyed successagainst an over-extendedRoyal Navy, usingU-boatsagainst British shippingin the Atlantic.[109]The BritishHome Fleetscored a significant victory on 27May 1941 bysinking the German battleshipBismarck.[110]"
paragraph,"In November 1939, the United States was assisting China and the Western Allies, and had amended theNeutrality Actto allow ""cash and carry"" purchases by the Allies.[111]In 1940, following the German capture of Paris, the size of theUnited States Navywassignificantly increased. In September the United States further agreed to atrade of American destroyers for British bases.[112]Still, a large majority of the American public continued to oppose any direct military intervention in the conflict well into 1941.[113]In December 1940,Franklin D. Rooseveltaccused Hitler of planning world conquest and ruled out any negotiations as useless, calling for the United States to become an ""arsenal of democracy"" and promotingLend-Leaseprogrammes of military and humanitarian aid to support the British war effort; Lend-Lease was later extended to the other Allies, including the Soviet Union after it wasinvadedby Germany.[114]The United States started strategic planning to prepare for a full-scale offensive against Germany.[115]"
paragraph,"At the end of September 1940, theTripartite Pactformally united Japan, Italy, and Germany as theAxis powers. The Tripartite Pact stipulated that any country—with the exception of the Soviet Union—that attacked any Axis Power would be forced to go to war against all three.[116]The Axis expanded in November 1940 whenHungary,Slovakia, andRomaniajoined.[117]RomaniaandHungarylater made major contributions to the Axis war against the Soviet Union, in Romania's case partially to recaptureterritory ceded to the Soviet Union.[118]"
paragraph,"In early June 1940, the ItalianRegia Aeronauticaattacked and besieged Malta, a British possession. From late summer to early autumn, Italyconquered British Somalilandand made anincursion into British-held Egypt. In October,Italy attacked Greece, but the attack was repulsed with heavy Italian casualties; the campaign ended within months with minor territorial changes.[119]To assist Italy and prevent Britain from gaining a foothold, Germany prepared to invade the Balkans, which would threaten Romanian oil fields and strike against British dominance of the Mediterranean.[120]"
paragraph,"In December 1940, British Empire forces begancounter-offensivesagainst Italian forces in Egypt andItalian East Africa.[121]The offensives were successful; by early February 1941, Italy had lost control of eastern Libya, and large numbers of Italian troops had been taken prisoner. TheItalian Navyalso suffered significant defeats, with the Royal Navy putting three Italian battleships out of commission after acarrier attack at Taranto, and neutralising several more warships at theBattle of Cape Matapan.[122]"
paragraph,"Italian defeats prompted Germany todeploy an expeditionary forceto North Africa; at the end of March 1941,Rommel'sAfrika Korpslaunched an offensivewhich drove back Commonwealth forces.[123]In less than a month, Axis forces advanced to western Egypt andbesieged the port of Tobruk.[124]"
paragraph,"By late March 1941,BulgariaandYugoslaviasigned theTripartite Pact; however, the Yugoslav government wasoverthrown two days laterby pro-British nationalists. Germany and Italy responded with simultaneous invasions of bothYugoslaviaandGreece, commencing on 6 April 1941; both nations were forced to surrender within the month.[125]The airborneinvasion of the Greek island of Creteat the end of May completed the German conquest of the Balkans.[126]Partisan warfare subsequently broke out against theAxis occupation of Yugoslavia, which continued until the end of the war.[127]"
paragraph,"In the Middle East in May, Commonwealth forcesquashed an uprising in Iraqwhich had been supported by German aircraft from bases within Vichy-controlledSyria.[128]Between June and July, British-led forcesinvaded and occupied the French possessions of Syria and Lebanon, assisted by theFree French.[129]"
paragraph,"With the situation in Europe and Asia relatively stable, Germany, Japan, and the Soviet Union made preparations for war. With the Soviets wary of mounting tensions with Germany, and the Japanese planning to take advantage of the European War by seizing resource-rich European possessions inSoutheast Asia, the two powers signed theSoviet–Japanese Neutrality Pactin April 1941.[130]By contrast, the Germans were steadily making preparations for an attack on the Soviet Union, massing forces on the Soviet border.[131]"
paragraph,"Hitler believed that the United Kingdom's refusal to end the war was based on the hope that the United States and the Soviet Union would enter the war against Germany sooner or later.[132]On 31 July 1940, Hitler decided that the Soviet Union should be eliminated and aimed for the conquest ofUkraine, theBaltic statesandByelorussia.[133]However, other senior German officials like Ribbentrop saw an opportunity to create a Euro-Asian bloc against the British Empire by inviting the Soviet Union into the Tripartite Pact.[134]In November 1940,negotiations took placeto determine if the Soviet Union would join the pact. The Soviets showed some interest but asked for concessions from Finland, Bulgaria, Turkey, and Japan that Germany considered unacceptable. On 18 December 1940, Hitler issued the directive to prepare for an invasion of the Soviet Union.[135]"
paragraph,"On 22 June 1941, Germany, supported by Italy and Romania, invaded the Soviet Union inOperation Barbarossa, with Germany accusing the Soviets ofplotting against them; they were joined shortly by Finland and Hungary.[136]The primary targets of this surprise offensive[137]were theBaltic region, Moscow and Ukraine, with theultimate goalof ending the 1941 campaign near theArkhangelsk-Astrakhan line—from theCaspianto theWhite Seas. Hitler's objectives were to eliminate the Soviet Union as a military power, exterminateCommunism, generateLebensraum(""living space"")[138]bydispossessing the native population,[139]and guarantee access to the strategic resources needed to defeat Germany's remaining rivals.[140]"
paragraph,"Although theRed Armywas preparing for strategiccounter-offensivesbefore the war,[141]OperationBarbarossaforced theSoviet supreme commandto adoptstrategic defence. During the summer, the Axis made significant gains into Soviet territory, inflicting immense losses in both personnel and materiel. By mid-August, however, the GermanArmy High Commanddecided tosuspend the offensiveof a considerably depletedArmy Group Centre, and to divert the2nd Panzer Groupto reinforce troops advancing towards central Ukraine and Leningrad.[142]TheKiev offensivewas overwhelmingly successful, resulting in encirclement and elimination of four Soviet armies, and made possible furtheradvance into Crimeaand industrially-developed Eastern Ukraine (theFirst Battle of Kharkov).[143]"
paragraph,"The diversion of three-quarters of the Axis troops and the majority of their air forces from France and the central Mediterranean to theEastern Front[144]prompted the United Kingdom to reconsider itsgrand strategy.[145]In July, the UK and the Soviet Union formed amilitary alliance against Germany[146]and in August, the United Kingdom and the United States jointly issued theAtlantic Charter, which outlined British and American goals for the post-war world.[147]In late August the British and Sovietsinvaded neutral Iranto secure thePersian Corridor, Iran'soil fields, and preempt any Axis advances through Iran toward the Baku oil fields or India.[148]"
paragraph,"By October, Axis powers had achievedoperational objectivesin Ukraine and the Baltic region, with only the sieges ofLeningrad[149]andSevastopolcontinuing.[150]A majoroffensive against Moscowwas renewed; after two months of fierce battles in increasingly harsh weather, the German army almost reached the outer suburbs of Moscow, where the exhausted troops[151]were forced to suspend the offensive.[152]Large territorial gains were made by Axis forces, but their campaign had failed to achieve its main objectives: two key cities remained in Soviet hands, the Sovietcapability to resistwas not broken, and the Soviet Union retained a considerable part of its military potential. Theblitzkriegphaseof the war in Europe had ended.[153]"
paragraph,"By early December, freshly mobilisedreserves[154]allowed the Soviets to achieve numerical parity with Axis troops.[155]This, as well asintelligence datawhich established that a minimal number of Soviet troops in the East would be sufficient to deter any attack by the JapaneseKwantung Army,[156]allowed the Soviets to begin amassive counter-offensivethat started on 5 December all along the front and pushed German troops 100–250 kilometres (62–155 mi) west.[157]"
paragraph,"Following the Japanesefalse flagMukden incidentin 1931, the Japanese shelling of the AmericangunboatUSS Panayin 1937, and the 1937–1938Nanjing Massacre,Japanese-American relations deteriorated. In 1939, the United States notified Japan that it would not be extending its trade treaty and American public opinion opposing Japanese expansionism led to a series of economic sanctions—theExport Control Acts—which banned U.S. exports of chemicals, minerals and military parts to Japan, and increased economic pressure on the Japanese regime.[114][158][159]During 1939 Japan launched itsfirst attack against Changsha, but was repulsed by late September.[160]Despiteseveral offensivesby both sides, by 1940 the war between China and Japan was at a stalemate. To increase pressure on China by blocking supply routes, and to better position Japanese forces in the event of a war with the Western powers, Japan invaded andoccupied northern Indochinain September 1940.[161]"
paragraph,"Chinese nationalist forces launched a large-scalecounter-offensivein early 1940. In August,Chinese communistslaunched anoffensive in Central China; in retaliation, Japan institutedharsh measuresin occupied areas to reduce human and material resources for the communists.[162]Continued antipathy between Chinese communist and nationalist forcesculminated in armed clashes in January 1941, effectively ending their co-operation.[163]In March, the Japanese 11th army attacked the headquarters of the Chinese 19th army but was repulsed duringBattle of Shanggao.[164]In September, Japan attempted totake the city of Changshaagain and clashed with Chinese nationalist forces.[165]"
paragraph,"German successes in Europe prompted Japan to increase pressure on European governments inSoutheast Asia. The Dutch government agreed to provide Japan with oil supplies from theDutch East Indies, but negotiations for additional access to their resources ended in failure in June 1941.[166]In July 1941 Japan sent troops to southern Indochina, thus threatening British and Dutch possessions in the Far East. The United States, the United Kingdom, and other Western governments reacted to this move with a freeze on Japanese assets and a total oil embargo.[167][168]At the same time, Japan wasplanning an invasion of the Soviet Far East, intending to take advantage of the German invasion in the west, but abandoned the operation after the sanctions.[169]"
